address,city,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,value,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
10265 Quail St,Westminster,80021,3,2,1437,2582.0,39.8823,-105.1249,Jefferson County R-1 School District,481565.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
10433 Holland Pl,Westminster,80021,3,2,1144,2199.0,39.8825,-105.10441,Jefferson County R-1 School District,452333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
10545 Hoyt St,Westminster,80021,3,2,1296,2351.0,39.8882,-105.10326,Jefferson County R-1 School District,490234.95,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
11348 Lamar St,Westminster,80020,3,3,1820,2640.0,39.902,-105.066,Jefferson County R-1 School District,406666.67,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,0,1,0
5798 W 110th Ave,Westminster,80020,4,2,1975,2650.0,39.897,-105.061,Jefferson County R-1 School District,508333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,0,1,0,1,0,0
6324 W 92nd Pl,Westminster,80031,4,2,1920,2760.0,39.864,-105.067,Jefferson County R-1 School District,404833.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,0,1,0,1,0,0
8945 Field St #64,Westminster,80021,2,2,1340,2095.0,39.85907,-105.09907,Jefferson County R-1 School District,301333.33,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,0,0,0,1,0,0
9174 Lander St,Westminster,80031,3,2,1850,2595.0,39.86244,-105.03037,Westminster 50 School District,408000.0,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
8141 Stuart St,Westminster,80031,3,2,1802,2497.0,39.84399,-105.04689,Westminster 50 School District,423333.33,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
8011 Stuart Pl,Westminster,80031,3,2,1920,2550.0,39.84268,-105.04667,Westminster 50 School District,396666.67,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
10744 Moore Cir,Westminster,80021,3,2,1632,2475.0,39.89202,-105.11254,Jefferson County R-1 School District,423000.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
9200 Newton St,Westminster,80031,3,2,2262,2745.0,39.86451,-105.03621,Westminster 50 School District,440114.75,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,76142.0,1,0,0,1,0,0
6424 W 115th Ave,Westminster,80020,3,2,1344,2199.0,39.90394,-105.06804,Jefferson County R-1 School District,448300.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,76142.0,1,0,0,1,0,0
