property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng
10000470,10265 Quail St,Westminster,CO,80021,3,2.0,1437,2582.0,39.8823,-105.1249
10000616,10433 Holland Pl,Westminster,CO,80021,3,1.5,1144,2199.0,39.8825,-105.10441
10000695,10545 Hoyt St,Westminster,CO,80021,3,2.0,1296,2351.0,39.8882,-105.10326
10000753,10627 Kittredge St,Commerce City,CO,80022,3,2.5,1993,2939.0,39.88982,-104.80151
10000801,10705 Clermont St,Thornton,CO,80233,3,2.0,1544,2529.0,39.89058,-104.93351
10000898,10874 Fairfax Way,Thornton,CO,80233,4,2.0,1904,2599.0,39.89348,-104.92838
10000946,10944 Bellaire Way,Thornton,CO,80233,4,2.0,1800,2485.0,39.89548,-104.93625
10001172,11111 Dahlia Way,Thornton,CO,80233,3,2.0,1320,2300.0,39.89845,-104.92869
10001199,11120 Sylvan Pl,Parker,CO,80138,3,2.0,1387,2549.0,39.51228,-104.74424
10001489,11333 E Warren Ave,Aurora,CO,80014,4,4.0,2944,2949.0,39.67681,-104.85519
10001499,11348 Lamar St,Westminster,CO,80020,3,3.0,1820,2640.0,39.902,-105.066
10001523,11375 Nome St,Henderson,CO,80640,4,2.0,2087,2595.0,39.90208,-104.85186
10001815,11765 Pennsylvania St,Northglenn,CO,80233,3,2.5,1712,2444.0,39.91001,-104.97954
10001870,11845 E Kepner Dr,Aurora,CO,80012,2,3.0,1064,2095.0,39.69852,-104.85037
10002292,12156 E Louisiana Dr,Aurora,CO,80012,4,2.5,2625,2645.0,39.69204,-104.84547
10002577,1257 Bluejay Ave,Brighton,CO,80601,3,2.0,1110,2179.0,39.9706,-104.83725
10002730,12823 Cherry Way,Thornton,CO,80241,4,3.0,2484,2775.0,39.92966,-104.93441
10003665,1307 S Biscay St,Aurora,CO,80017,3,2.0,1100,2129.0,39.69217,-104.76876
10003845,1320 Bluebird St,Brighton,CO,80601,3,2.0,1470,2246.0,39.96678,-104.83774
10003945,13358 Birch Cir,Denver,CO,80241,3,2.5,1890,2600.0,39.93781,-104.93588
10003950,13368 Birch Cir,Thornton,CO,80241,3,2.0,1270,2250.0,39.93781,-104.93588
10004110,1361 Mallard Ln,Brighton,CO,80601,3,2.0,1470,2275.0,39.97163,-104.8379
10005989,1441 S Cathay St,Aurora,CO,80017,3,2.0,1192,2197.0,39.68851,-104.76623
10006119,14705 E Harvard Ave,Aurora,CO,80014,3,2.0,1327,2358.0,39.67106,-104.81664
10006247,1492 Hummingbird Cir,Brighton,CO,80601,3,2.0,1488,2214.0,39.96676,-104.8392
10006550,15381 E Arkansas Pl,Aurora,CO,80017,3,2.0,1296,2200.0,39.69101,-104.80859
10006818,1597 S Uvalda St,Aurora,CO,80012,4,2.0,1976,2604.0,39.68714,-104.83808
10007774,17486 E Temple Dr,Aurora,CO,80015,3,2.0,1200,2256.0,39.63158,-104.78496
10007794,1751 E 96th Pl,Thornton,CO,80229,3,3.0,1510,2485.0,39.87218,-104.96618
10007912,17739 Biscuit Root Dr,Parker,CO,80134,4,3.0,1670,2178.0,39.55575,-104.78287
10007924,17766 E Arizona Ave,Aurora,CO,80017,3,2.0,888,2350.0,39.6935,-104.77965
10008216,18290 E Hampden Pl,Aurora,CO,80013,5,4.0,2900,3095.0,39.65272,-104.77647
10008339,18524 E Layton Pl,Aurora,CO,80015,5,2.0,1736,2845.0,39.62718,-104.77315
10008406,18753 E Utah Cir,Aurora,CO,80017,4,2.5,1622,2550.0,39.68331,-104.76979
10008641,19176 E Oberlin Dr,Aurora,CO,80013,3,2.0,1800,2350.0,39.64047,-104.76544
10008753,19393 E Purdue Cir,Aurora,CO,80013,3,1.0,1230,2125.0,39.63917,-104.76173
10008810,19554 E Amherst Dr,Aurora,CO,80013,3,2.0,1408,2345.0,39.66632,-104.76032
10008896,19751 E Bellewood Dr,Centennial,CO,80015,4,2.5,2307,2900.0,39.62529,-104.75812
10008936,19867 E Brunswick Dr,Aurora,CO,80013,4,2.0,2281,2525.0,39.66537,-104.7571
10010266,2094 S Pagosa St,Aurora,CO,80013,5,3.0,2032,2575.0,39.67825,-104.78999
10012896,2774 S Cathay Way,Aurora,CO,80013,4,4.0,2000,2645.0,39.6668,-104.7664
10013434,2853 S Biscay Ct,Aurora,CO,80013,3,3.0,2175,2650.0,39.66289,-104.76883
10013527,2861 S Genoa St,Aurora,CO,80013,3,2.0,1920,2520.0,39.66526,-104.75811
10013568,2881 S Olathe Ct,Aurora,CO,80013,4,3.0,1965,2540.0,39.66349,-104.79249
10013730,2924 S Argonne St,Aurora,CO,80013,3,2.0,1470,2610.0,39.66288,-104.76991
10013807,2956 S Jasper St,Aurora,CO,80013,4,2.0,2016,2585.0,39.66266,-104.8055
10031869,3155 S Idalia St,Aurora,CO,80013,4,2.0,1632,2550.0,39.65931,-104.80765
10032464,3336 S Dunkirk Way,Aurora,CO,80013,4,2.0,2328,2550.0,39.6553,-104.7621
10032994,3582 S Olathe St,Aurora,CO,80013,3,2.0,2300,2700.0,39.65202,-104.79438
10033194,3680 S Danube Cir,Aurora,CO,80013,3,3.0,1288,2375.0,39.64944,-104.76285
10033356,3757 S Danube Cir,Aurora,CO,80013,3,3.0,1281,2298.0,39.64854,-104.7631
10033440,3806 S Ouray Way,Aurora,CO,80013,3,2.0,1824,2515.0,39.64712,-104.79167
10033472,2676 E 117th Way,Thornton,CO,80233,4,2.0,2142,2782.0,39.90905,-104.95226
10033485,5225 E 123rd Ave,Thornton,CO,80241,5,2.0,1792,2685.0,39.91904,-104.92548
10033487,5305 E 108th Pl,Thornton,CO,80233,4,2.0,1704,2418.0,39.893,-104.92445
10033650,3884 S Truckee Ct,Aurora,CO,80013,3,2.0,1732,2495.0,39.64293,-104.78044
10042133,4108 S Laredo Way,Aurora,CO,80013,5,3.0,2240,2605.0,39.64186,-104.8008
10042415,4157 S Olathe Way,Aurora,CO,80013,3,2.0,1742,2600.0,39.64136,-104.79427
10042796,4323 Nepal St,Denver,CO,80249,4,2.0,1740,2335.0,39.77612,-104.74077
10042826,4331 S Fundy St,Centennial,CO,80015,4,2.0,1816,2650.0,39.63676,-104.75775
10043355,453 S Nome Way,Aurora,CO,80012,4,2.0,1628,2425.0,39.70764,-104.85356
10043377,4554 S Richfield St,Aurora,CO,80015,3,2.0,1554,2245.0,39.633,-104.78606
10043560,4653 S Buckley Way,Aurora,CO,80015,3,2.0,1170,2176.0,39.63168,-104.79043
10043581,4672 S Kittredge Way,Aurora,CO,80015,3,2.0,1976,2549.0,39.63089,-104.80109
10043692,4752 S Yampa St,Aurora,CO,80015,3,2.0,1689,2544.0,39.62884,-104.77537
10043776,4810 Flanders Way,Denver,CO,80249,4,2.5,1858,2350.0,39.78436,-104.76084
10043791,4814 S Pagosa Way,Aurora,CO,80015,3,2.0,1238,2505.0,39.62868,-104.78937
10047733,5003 S Richfield Cir,Aurora,CO,80015,3,2.0,1238,2350.0,39.62658,-104.7871
10048271,5072 S Himalaya Ct,Aurora,CO,80015,3,3.0,1500,2625.0,39.62423,-104.75255
10049641,527 Leona Dr,Denver,CO,80221,3,3.0,1188,2425.0,39.84392,-104.99356
10049802,5374 S Telluride Way,Centennial,CO,80015,4,2.5,2145,2628.0,39.61956,-104.78224
10049841,5406 Iris St,Arvada,CO,80002,4,2.0,1373,2525.0,39.79535,-105.10547
10050170,5631 W 71st Cir,Arvada,CO,80003,4,2.5,1502,2913.0,39.826,-105.06
10050266,5710 S Quatar Cir,Centennial,CO,80015,3,2.0,1361,2207.0,39.61232,-104.73445
10050357,5798 W 110th Ave,Westminster,CO,80020,4,2.0,1975,2650.0,39.897,-105.061
10057034,6243 Westview Cir,Parker,CO,80134,5,3.0,2364,2737.0,39.4395,-104.77038
10057300,6324 W 92nd Pl,Westminster,CO,80031,4,2.0,1920,2760.0,39.864,-105.067
10062646,2954 S Idalia St,Aurora,CO,80013,4,2.0,1296,2490.0,39.66278,-104.80593
10062651,4139 Orleans St,Denver,CO,80249,2,2.5,1400,2249.0,39.77396,-104.73851
10062657,4926 Fraser Way,Denver,CO,80239,4,3.0,2587,2831.0,39.78129,-104.81126
10062668,4989 S Waco St,Aurora,CO,80015,4,2.0,1548,2400.0,39.62646,-104.77713
10062670,16901 E Eastman Pl,Aurora,CO,80013,3,1.5,1662,2285.0,39.65799,-104.79023
10062676,5008 S Quintero Cir,Aurora,CO,80015,4,2.0,1676,2448.0,39.6264,-104.78731
10062677,11620 Oakland Dr,Henderson,CO,80640,3,1.5,1420,2300.0,39.90825,-104.84968
10062679,9729 Detroit St,Thornton,CO,80229,4,2.0,2022,2550.0,39.87234,-104.95237
10062701,10104 Hudson Ct,Thornton,CO,80229,3,2.0,1415,2321.0,39.88089,-104.92287
10062703,12774 E 31st Ave,Aurora,CO,80011,3,2.0,2180,2500.0,39.75939,-104.84033
10062714,4338 Deephaven Ct,Denver,CO,80239,4,2.5,2247,2725.0,39.77565,-104.82321
10062738,8610 Ogden St,Denver,CO,80229,3,3.0,2528,2745.0,39.85345,-104.97501
10062783,5174 Sable St,Denver,CO,80239,4,2.0,1395,2342.0,39.78804,-104.82032
10062799,18868 E 52nd Ave,Denver,CO,80249,2,2.5,1524,2451.0,39.79129,-104.76729
10062812,10017 Beach St,Denver,CO,80260,3,2.0,1320,2330.0,39.87954,-105.01733
10062813,9836 Milwaukee St,Thornton,CO,80229,4,2.0,1840,2574.0,39.87505,-104.95075
10062824,2361 Stacy Dr,Denver,CO,80221,3,2.0,1650,2350.0,39.84679,-105.01484
10062827,4258 S Pitkin St,Aurora,CO,80013,3,2.0,1650,1950.0,39.63963,-104.78793
10062828,19336 E Amherst Dr,Aurora,CO,80013,3,3.0,1968,2585.0,39.66596,-104.76226
10062838,4981 N Silverlace Dr,Castle Rock,CO,80109,3,3.0,2108,2610.0,39.4109,-104.89674
10062848,3166 S Olathe Way,Aurora,CO,80013,3,2.0,2048,2442.0,39.65927,-104.79247
10062853,9809 Castle Ridge Cir,Highlands Ranch,CO,80129,4,3.0,1838,2765.0,39.53929,-105.01939
10062859,4672 Biscay St,Denver,CO,80249,4,2.5,2028,2600.0,39.78063,-104.76357
10062886,2416 S Memphis Way,Aurora,CO,80013,4,2.0,1764,2415.0,39.67214,-104.79639
10062907,11644 Community Center Dr Unit # 126,Denver,CO,80233,4,3.0,2130,2420.0,39.90763,-104.98418
10062911,7178 Urban St,Arvada,CO,80004,3,2.0,1824,2645.0,39.826,-105.135
10062918,1360 S Tejon St,Denver,CO,80223,3,2.0,1887,2880.0,39.692,-105.01143
10062934,8945 Field St #64,Westminster,CO,80021,2,2.0,1340,2095.0,39.85907,-105.09907
10062936,4326 Wyandot St,Denver,CO,80211,3,2.0,1752,2850.0,39.776,-105.01437
10062941,4751 Carson St,Denver,CO,80239,2,1.0,1513,2085.0,39.78123,-104.83142
10062992,9174 Lander St,Westminster,CO,80031,3,2.0,1850,2595.0,39.86244,-105.03037
10062993,1360 S Kendall St,Lakewood,CO,80232,3,2.0,1820,2568.0,39.693,-105.065
10063013,5188 Duluth Ct,Denver,CO,80239,4,2.0,1576,2305.0,39.78765,-104.8184
10063014,5564 Worchester St,Denver,CO,80239,3,2.0,1680,2375.0,39.79604,-104.83049
10063041,3787 S Quintero Cir,Aurora,CO,80013,4,2.0,1738,2530.0,39.64839,-104.78744
10063063,18274 E Bellewood Dr,Aurora,CO,80015,3,3.0,2128,2913.0,39.62435,-104.77523
10063072,7279 Dome Rock Rd,Littleton,CO,80125,3,2.0,1897,2866.0,39.46731,-105.07512
10063080,18551 E Tanforan Pl,Aurora,CO,80015,2,2.0,1695,2590.0,39.62965,-104.7736
10063099,11948 Lavinia Way,Northglenn,CO,80233,2,2.0,1776,2395.0,39.91279,-104.96453
10063101,3922 Licorice Ct,Castle Rock,CO,80109,3,3.0,2151,2895.0,39.41599,-104.90481
10063129,13420 W 73rd Ave,Arvada,CO,80005,3,3.0,2267,3220.0,39.8295,-105.14905
10063139,5361 S Hickory St,Littleton,CO,80120,4,2.0,2250,2700.0,39.61946,-105.00021
10063142,19106 E Carmel Cir,Aurora,CO,80011,3,3.0,2148,2375.0,39.74906,-104.76429
10063145,9954 Columbine St,Thornton,CO,80229,5,2.0,2022,2510.0,39.87702,-104.95707
10063162,17898 E Arizona Ave,Aurora,CO,80017,2,2.0,2012,2475.0,39.69421,-104.77842
10063166,21480 E 44th Ave,Denver,CO,80249,3,3.0,1876,2704.0,39.77735,-104.73886
10063180,8141 Stuart St,Westminster,CO,80031,3,2.0,1802,2497.0,39.84399,-105.04689
10063181,8011 Stuart Pl,Westminster,CO,80031,3,2.0,1920,2550.0,39.84268,-105.04667
10063182,2280 Mable Ave,Denver,CO,80229,3,1.0,2450,2195.0,39.84991,-104.9599
10063231,981 S Wheeling St,Aurora,CO,80012,3,1.0,1416,2068.0,39.69783,-104.83438
10063263,301 S Leyden St,Denver,CO,80224,3,1.5,1881,2645.0,39.71014,-104.91557
10063274,19743 E 49th Ave,Denver,CO,80249,2,2.5,1524,2395.0,39.78557,-104.75974
10063278,6362 Freeport Dr,Highlands Ranch,CO,80130,3,2.0,1882,2595.0,39.55345,-104.9152
10063279,16823 Blue Mist Cir,Parker,CO,80134,3,2.0,2176,2575.0,39.56166,-104.79365
10063283,11798 W Marlowe Ave,Morrison,CO,80465,4,2.5,2404,2900.0,39.632,-105.129
10063301,7407 Shoreham Dr,Castle Pines,CO,80108,4,2.5,3528,3595.0,39.47021,-104.89244
10063321,1840 S Welch Cir,Lakewood,CO,80228,4,3.0,1955,3175.0,39.684,-105.145
10063354,9735 Garwood St,Littleton,CO,80125,3,3.0,1327,2100.0,39.47512,-105.06784
10063380,3804 S Rome Way,Aurora,CO,80018,4,3.0,2349,2785.0,39.64753,-104.73028
10063388,206 N Coolidge Way,Aurora,CO,80018,4,2.5,3114,3029.0,39.72117,-104.70905
10063391,14679 E Radcliff Pl,Aurora,CO,80015,5,2.0,2100,2650.0,39.6373,-104.81717
10063438,12858 Capital Creek St,Parker,CO,80134,3,2.5,2085,2814.0,39.48156,-104.77473
10063789,7375 Braun Way,Arvada,CO,80005,3,3.0,1967,2845.0,39.83056,-105.15157
10063940,13157 E Dakota Ave,Aurora,CO,80012,3,2.0,1679,2305.0,39.70836,-104.83612
10063957,16166 E Exposition Dr,Aurora,CO,80017,3,2.0,1920,2625.0,39.70348,-104.79943
10063961,10530 E 10th Ave,Aurora,CO,80010,3,3.0,2240,2590.0,39.73082,-104.86475
10063963,3591 Morning Glory Dr,Castle Rock,CO,80109,3,2.5,2172,2768.0,39.41661,-104.89987
10063967,17154 E Wagontrail Pkwy,Aurora,CO,80015,3,2.0,1144,2475.0,39.62949,-104.78752
10063970,4702 Orleans St,Denver,CO,80249,3,2.5,1709,2490.0,39.7814,-104.73679
10063975,3625 Fairfax St,Denver,CO,80207,3,1.5,1355,2365.0,39.76798,-104.92849
10063986,10744 Moore Cir,Westminster,CO,80021,3,1.5,1632,2475.0,39.89202,-105.11254
10064012,1670 S Allison St,Lakewood,CO,80232,3,2.0,1860,2899.0,39.68662,-105.08608
10064013,8497 Wild Alfalfa Pl,Parker,CO,80134,4,2.0,1668,2300.0,39.56277,-104.79805
10064036,176 Monares Ln,Erie,CO,80516,5,4.0,2645,2899.0,40.04116,-105.0387
10064043,3690 Magnolia St,Denver,CO,80207,3,1.0,1544,2165.0,39.76843,-104.91145
10064060,574 S Joplin St,Aurora,CO,80017,3,2.0,1596,2295.0,39.70518,-104.80328
10064086,2655 Atchison St,Aurora,CO,80011,3,1.5,1285,2085.0,39.75506,-104.82432
10064107,4642 Malaya St,Denver,CO,80249,3,2.0,1610,2285.0,39.78064,-104.74189
10064108,14531 E Gunnison Pl,Aurora,CO,80012,3,2.5,1868,2545.0,39.68879,-104.81826
10064112,18895 E Utah Cir,Aurora,CO,80017,3,2.0,1602,2445.0,39.68272,-104.76847
10064128,15682 E Colorado Ave,Aurora,CO,80017,3,1.5,1168,1995.0,39.6844,-104.80583
10064134,1205 Bluebird St,Brighton,CO,80601,3,2.0,1470,2325.0,39.9696,-104.83738
10064145,4685 S Buckley Way,Aurora,CO,80015,4,2.0,1692,2548.0,39.63168,-104.79043
10064165,21103 E 45th Ave,Denver,CO,80249,3,2.0,1677,2296.0,39.77863,-104.74134
10064179,5842 S Orleans Way,Centennial,CO,80015,3,2.0,1431,2500.0,39.61056,-104.73639
10064180,240 Bonanza Dr,Erie,CO,80516,4,2.5,1997,2915.0,40.00396,-105.03676
10064195,4509 Andes St,Denver,CO,80249,3,2.5,1650,2460.0,39.77975,-104.77171
10064210,17306 E Mansfield Ave,Aurora,CO,80013,4,2.0,1569,2675.0,39.64554,-104.78758
10064214,5252 E 111th Pl,Thornton,CO,80233,3,2.0,2230,2850.0,39.89775,-104.92555
10064246,8485 Prairie Clover Way,Parker,CO,80134,3,2.0,1576,2330.0,39.56301,-104.79547
10064269,13115 Mercury Dr,Littleton,CO,80124,3,2.0,1769,2599.0,39.55175,-104.89382
10064290,2668 Calkins Pl,Broomfield,CO,80020,3,3.5,1974,2585.0,39.92654,-105.01928
10064296,5677 S Oak St,Littleton,CO,80127,4,2.0,1808,2700.0,39.613,-105.12
10064325,12386 Roslyn Way,Thornton,CO,80602,3,2.5,4198,3385.0,39.92025,-104.89972
10064326,4558 Biscay St,Denver,CO,80249,3,2.0,1799,2385.0,39.7791,-104.76667
10064327,9200 Newton St,Westminster,CO,80031,3,2.0,2262,2745.0,39.86451,-105.03621
10064377,11027 Chesmore St,Highlands Ranch,CO,80130,3,2.5,2626,2925.0,39.51553,-104.94105
10064398,22226 E Oberlin Pl,Aurora,CO,80018,3,2.5,2998,2800.0,39.64165,-104.72837
10064416,8277 Quay Ct,Arvada,CO,80003,4,2.5,2032,2645.0,39.846,-105.073
10064529,9499 Sherrelwood Ln,Highlands Ranch,CO,80126,4,3.0,2049,2650.0,39.54443,-104.97537
10064536,12586 Country Meadows Dr,Parker,CO,80134,3,3.0,1548,2345.0,39.49641,-104.76361
