property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10000753,10627 Kittredge St,Commerce City,CO,80022,3,2.5,1993,2939.0,39.88982,-104.80151,Brighton 27J School District,473955.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
10000801,10705 Clermont St,Thornton,CO,80233,3,2.0,1544,2529.0,39.89058,-104.93351,Adams 12 Five Star Schools,419002.45,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10000898,10874 Fairfax Way,Thornton,CO,80233,4,2.0,1904,2599.0,39.89348,-104.92838,Adams 12 Five Star Schools,424920.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10000946,10944 Bellaire Way,Thornton,CO,80233,4,2.0,1800,2485.0,39.89548,-104.93625,Adams 12 Five Star Schools,409695.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10001199,11120 Sylvan Pl,Parker,CO,80138,3,2.0,1387,2549.0,39.51228,-104.74424,Douglas County RE 1 School District,540525.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10001499,11348 Lamar St,Westminster,CO,80020,3,3.0,1820,2640.0,39.902,-105.066,Jefferson County R-1 School District,455253.85,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10001523,11375 Nome St,Henderson,CO,80640,4,2.0,2087,2595.0,39.90208,-104.85186,Brighton 27J School District,471589.95,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
10001870,11845 E Kepner Dr,Aurora,CO,80012,2,3.0,1064,2095.0,39.69852,-104.85037,Cherry Creek 5 School District,288680.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10002292,12156 E Louisiana Dr,Aurora,CO,80012,4,2.5,2625,2645.0,39.69204,-104.84547,Adams-Arapahoe 28J School District,417832.5,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10002730,12823 Cherry Way,Thornton,CO,80241,4,3.0,2484,2775.0,39.92966,-104.93441,Adams 12 Five Star Schools,441965.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10003845,1320 Bluebird St,Brighton,CO,80601,3,2.0,1470,2246.0,39.96678,-104.83774,Brighton 27J School District,405180.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
10004110,1361 Mallard Ln,Brighton,CO,80601,3,2.0,1470,2275.0,39.97163,-104.8379,Brighton 27J School District,350615.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
10006119,14705 E Harvard Ave,Aurora,CO,80014,3,2.0,1327,2358.0,39.67106,-104.81664,Adams-Arapahoe 28J School District,432910.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10006550,15381 E Arkansas Pl,Aurora,CO,80017,3,2.0,1296,2249.0,39.69101,-104.80859,Adams-Arapahoe 28J School District,324633.65,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
