property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,management,ROI,RentperSqFt,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10000753,10627 Kittredge St,Commerce City,CO,80022,3,2.5,1993,2939.0,39.88982,-104.80151,Brighton 27J School District,473955.0,2654.0,18958.2,4408.5,2821.44,6425.860000000001,1.47,44.028888888888886,2.2016666666666667,2.924444444444445,53.73777777777777,0.3066666666666667,0.1738888888888889,2.99888888888889,37.654444444444444,-48.05555555555556
10000801,10705 Clermont St,Thornton,CO,80233,3,2.0,1544,2529.0,39.89058,-104.93351,Adams 12 Five Star Schools,419002.45,2346.0,16760.1,3793.5,2427.84,5020.560000000001,1.64,47.38558139534882,1.9074418604651164,4.725348837209301,47.0013953488372,0.5467441860465118,0.14232558139534884,3.318837209302326,42.35930232558139,-23.3953488372093
10000898,10874 Fairfax Way,Thornton,CO,80233,4,2.0,1904,2599.0,39.89348,-104.92838,Adams 12 Five Star Schools,424920.0,2380.0,16996.8,3898.5,2495.04,5417.66,1.37,47.38558139534882,1.9074418604651164,4.725348837209301,47.0013953488372,0.5467441860465118,0.14232558139534884,3.318837209302326,42.35930232558139,-23.3953488372093
10000946,10944 Bellaire Way,Thornton,CO,80233,4,2.0,1800,2485.0,39.89548,-104.93625,Adams 12 Five Star Schools,409695.0,2294.0,16387.8,3727.5,2385.6,5025.099999999999,1.38,47.38558139534882,1.9074418604651164,4.725348837209301,47.0013953488372,0.5467441860465118,0.14232558139534884,3.318837209302326,42.35930232558139,-23.3953488372093
10001199,11120 Sylvan Pl,Parker,CO,80138,3,2.0,1387,2549.0,39.51228,-104.74424,Douglas County RE 1 School District,540525.0,3027.0,21621.0,3823.5,2447.04,-330.5400000000009,1.84,10.782600000000002,1.2924,4.6368,13.5866,0.4134,0.10700000000000001,5.688199999999999,74.27559999999997,10.24
10001499,11348 Lamar St,Westminster,CO,80020,3,3.0,1820,2640.0,39.902,-105.066,Jefferson County R-1 School District,455253.85,2549.0,18210.15,3960.0,2534.4,4426.449999999997,1.45,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
10001523,11375 Nome St,Henderson,CO,80640,4,2.0,2087,2595.0,39.90208,-104.85186,Brighton 27J School District,471589.95,2641.0,18863.6,3892.5,2491.2000000000003,3251.7000000000007,1.24,44.028888888888886,2.2016666666666667,2.924444444444445,53.73777777777777,0.3066666666666667,0.1738888888888889,2.99888888888889,37.654444444444444,-48.05555555555556
10001870,11845 E Kepner Dr,Aurora,CO,80012,2,3.0,1064,2095.0,39.69852,-104.85037,Cherry Creek 5 School District,288680.0,1617.0,11547.2,3142.5,2011.2,6822.099999999999,1.97,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10002292,12156 E Louisiana Dr,Aurora,CO,80012,4,2.5,2625,2645.0,39.69204,-104.84547,Adams-Arapahoe 28J School District,417832.5,2340.0,16713.3,3967.5,2539.2000000000003,6180.0,1.01,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
10002730,12823 Cherry Way,Thornton,CO,80241,4,3.0,2484,2775.0,39.92966,-104.93441,Adams 12 Five Star Schools,441965.0,2475.0,17678.6,4162.5,2664.0,6319.9000000000015,1.12,47.38558139534882,1.9074418604651164,4.725348837209301,47.0013953488372,0.5467441860465118,0.14232558139534884,3.318837209302326,42.35930232558139,-23.3953488372093
