property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,point_pair,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,ROI,management
10000753,10627 Kittredge St,Commerce City,CO,80022,3,2.5,1993,2939.0,39.88982,-104.80151,"[-104.80151, 39.88982]",Brighton 27J School District,471980.0,2832.0,18879.2,4408.5,6326.860000000001,2821.44
10000801,10705 Clermont St,Thornton,CO,80233,3,2.0,1544,2529.0,39.89058,-104.93351,"[-104.93351, 39.89058]",Adams 12 Five Star Schools,408857.45,2453.0,16354.3,3793.5,5319.360000000001,2427.84
10000898,10874 Fairfax Way,Thornton,CO,80233,4,2.0,1904,2599.0,39.89348,-104.92838,"[-104.92838, 39.89348]",Adams 12 Five Star Schools,411345.0,2468.0,16453.8,3898.5,5872.66,2495.04
10000946,10944 Bellaire Way,Thornton,CO,80233,4,2.0,1800,2485.0,39.89548,-104.93625,"[-104.93625, 39.89548]",Adams 12 Five Star Schools,404420.0,2427.0,16176.8,3727.5,5103.0999999999985,2385.6
10001199,11120 Sylvan Pl,Parker,CO,80138,3,2.0,1387,2549.0,39.51228,-104.74424,"[-104.74424, 39.51228]",Douglas County RE 1 School District,545330.0,3272.0,21813.2,3823.5,-767.7400000000016,2447.04
10001523,11375 Nome St,Henderson,CO,80640,4,2.0,2087,2595.0,39.90208,-104.85186,"[-104.85186, 39.90208]",Brighton 27J School District,439589.95,2638.0,17583.6,3892.5,4534.700000000001,2491.2000000000003
10001870,11845 E Kepner Dr,Aurora,CO,80012,2,3.0,1064,2095.0,39.69852,-104.85037,"[-104.85037, 39.69852]",Cherry Creek 5 School District,289430.0,1737.0,11577.2,3142.5,6672.0999999999985,2011.2
10002292,12156 E Louisiana Dr,Aurora,CO,80012,4,2.5,2625,2645.0,39.69204,-104.84547,"[-104.84547, 39.69204]",Adams-Arapahoe 28J School District,414827.5,2489.0,16593.1,3967.5,6151.200000000001,2539.2000000000003
10002730,12823 Cherry Way,Thornton,CO,80241,4,3.0,2484,2775.0,39.92966,-104.93441,"[-104.93441, 39.92966]",Adams 12 Five Star Schools,438715.0,2632.0,17548.6,4162.5,6292.9000000000015,2664.0
10003845,1320 Bluebird St,Brighton,CO,80601,3,2.0,1470,2246.0,39.96678,-104.83774,"[-104.83774, 39.96678]",Brighton 27J School District,407485.0,2445.0,16299.4,3369.0,2682.4400000000023,2156.16
10006119,14705 E Harvard Ave,Aurora,CO,80014,3,2.0,1327,2358.0,39.67106,-104.81664,"[-104.81664, 39.67106]",Adams-Arapahoe 28J School District,434560.0,2607.0,17382.4,3537.0,2505.9199999999983,2263.68
10006818,1597 S Uvalda St,Aurora,CO,80012,4,2.0,1976,2604.0,39.68714,-104.83808,"[-104.83808, 39.68714]",Adams-Arapahoe 28J School District,414570.0,2487.0,16582.8,3906.0,5772.360000000001,2499.84
