property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice
10000470,10265 Quail St,Westminster,CO,80021,3,2.0,1437,2582.0,39.8823,-105.1249,Jefferson County R-1 School District,481565.0
10000616,10433 Holland Pl,Westminster,CO,80021,3,1.5,1144,2199.0,39.8825,-105.10441,Jefferson County R-1 School District,452333.33
10000695,10545 Hoyt St,Westminster,CO,80021,3,2.0,1296,2351.0,39.8882,-105.10326,Jefferson County R-1 School District,490234.95
10000753,10627 Kittredge St,Commerce City,CO,80022,3,2.5,1993,2939.0,39.88982,-104.80151,Brighton 27J School District,503300.0
10000801,10705 Clermont St,Thornton,CO,80233,3,2.0,1544,2529.0,39.89058,-104.93351,Adams 12 Five Star Schools,418283.33
10000898,10874 Fairfax Way,Thornton,CO,80233,4,2.0,1904,2599.0,39.89348,-104.92838,Adams 12 Five Star Schools,431633.33
10000946,10944 Bellaire Way,Thornton,CO,80233,4,2.0,1800,2485.0,39.89548,-104.93625,Adams 12 Five Star Schools,428333.33
10001172,11111 Dahlia Way,Thornton,CO,80233,3,2.0,1320,2300.0,39.89845,-104.92869,Adams 12 Five Star Schools,429149.45
10001199,11120 Sylvan Pl,Parker,CO,80138,3,2.0,1387,2549.0,39.51228,-104.74424,Douglas County RE 1 School District,516900.0
10001489,11333 E Warren Ave,Aurora,CO,80014,4,4.0,2944,2949.0,39.67681,-104.85519,Cherry Creek 5 School District,499005.0
10001499,11348 Lamar St,Westminster,CO,80020,3,3.0,1820,2640.0,39.902,-105.066,Jefferson County R-1 School District,406666.67
10001523,11375 Nome St,Henderson,CO,80640,4,2.0,2087,2595.0,39.90208,-104.85186,Brighton 27J School District,495000.0
10001815,11765 Pennsylvania St,Northglenn,CO,80233,3,2.5,1712,2444.0,39.91001,-104.97954,Adams 12 Five Star Schools,348065.0
10001870,11845 E Kepner Dr,Aurora,CO,80012,2,3.0,1064,2095.0,39.69852,-104.85037,Cherry Creek 5 School District,347966.67
10002292,12156 E Louisiana Dr,Aurora,CO,80012,4,2.5,2625,2645.0,39.69204,-104.84547,Adams-Arapahoe 28J School District,455000.0
10002577,1257 Bluejay Ave,Brighton,CO,80601,3,2.0,1110,2179.0,39.9706,-104.83725,Brighton 27J School District,381845.0
