,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,district,elementarySchool,middleSchool,highSchool
0,19632 W 59th Avenue,Golden,80403,4.0,3.0,"2,216",750000,"$6,807",$480,Annually,39.80406705,-105.22206082,Jefferson County R-1,Mitchell,Bell,Golden
1,2655 Locust Street,Denver,80207,5.0,3.0,"2,915",750000,"$2,846",$0,N/A,39.7556959,-104.91439622,Denver 1,Stedman,McAuliffe International,East
2,3453 Wabash Street,Denver,80238,3.0,4.0,"2,134",750000,"$4,916",$43,Monthly,39.76449901,-104.88952349,Denver 1,Westerly Creek,McAuliffe International,Northfield
3,1550 E Dartmouth Avenue,Englewood,80113,5.0,2.0,"2,727",750000,"$2,755",$0,N/A,39.6602763,-104.96920823,Englewood 1,Charles Hay,Englewood,Englewood
4,1270 Pontiac Street,Denver,80220,4.0,2.0,"1,835",750000,"$2,937",$0,N/A,39.73688137,-104.90548419,Denver 1,Montclair,Hill,George Washington
5,6644 Everett Street,Arvada,80004,3.0,3.0,"2,146",750000,"$2,163",$0,N/A,39.81822432,-105.09616809,Jefferson County R-1,Peck,North Arvada,Arvada
6,2115 Teller Street,Lakewood,80214,5.0,3.0,"3,074",750000,"$3,491",$0,N/A,39.74958613,-105.07704445,Jefferson County R-1,Lumberg,Jefferson,Jefferson
7,6900 W Grant Ranch Boulevard Unit 8,Denver,80123,3.0,3.0,"2,215",750000,"$4,374",$65,Monthly,39.61707474,-105.07372342,Denver 1,Grant Ranch E-8,Grant Ranch E-8,John F. Kennedy
8,6590 Saulsbury Court,Arvada,80003,6.0,4.0,"3,532",750000,"$2,949",$0,N/A,39.81624579,-105.07627848,Jefferson County R-1,Secrest,North Arvada,Arvada
9,3112 S Monaco Circle,Denver,80222,4.0,3.0,"3,099",750000,"$3,754",$0,N/A,39.65975741,-104.91389187,Cherry Creek 5,Holly Hills,West,Cherry Creek
10,4112 S Vrain Street,Denver,80236,4.0,4.0,"3,180",750000,"$2,430",$30,Annually,39.64292041,-105.04608781,Denver 1,Kaiser,Henry,John F. Kennedy
11,1193 S Clarkson Street,Denver,80210,4.0,2.0,"2,177",750000,"$3,038",$0,N/A,39.6949327,-104.97828738,Denver 1,Lincoln,Grant,South
12,5891 Wood Sorrel Drive,Littleton,80123,3.0,3.0,"2,853",750000,"$4,150","$1,600",Annually,39.60998664,-105.04381642,Littleton 6,Wilder,Goddard,Littleton
13,1150 S Jackson Street,Denver,80210,5.0,2.0,"1,798",750000,"$2,732",$0,N/A,39.69557343,-104.94272938,Denver 1,Cory,Merrill,South
14,4835 W 29th Avenue,Denver,80212,3.0,2.0,"1,755",750000,"$2,561",$0,N/A,39.75873771,-105.04959359,Denver 1,Edison,Bryant-Webster,North
15,2545 Teller Court,Lakewood,80214,3.0,3.0,"3,300",750000,"$2,785",$0,N/A,39.753739,-105.07769,Jefferson County R-1,Lumberg,Jefferson,Jefferson
16,19095 Robins Drive,Denver,80249,7.0,4.0,"5,193",750000,"$5,182",$0,N/A,39.79718105,-104.76448701,Denver 1,Waller,McGlone,Noel Community Arts School
17,946 S Leyden Street,Denver,80224,5.0,5.0,"3,300",749900,"$2,169",$0,N/A,39.6990395,-104.91484501,Denver 1,McMeen,Hill,George Washington
18,4250 Wyandot Street,Denver,80211,3.0,2.0,"1,748",749900,"$2,616",$0,N/A,39.77511384,-105.01446274,Denver 1,Trevista at Horace Mann,Strive Sunnyside,North
19,9840 W 36th Avenue,Wheat Ridge,80033,5.0,3.0,"2,072",749900,"$2,203",$0,N/A,39.76641458,-105.10775268,Jefferson County R-1,Wilmore-Davis,Everitt,Wheat Ridge
20,3615 Osceola Street,Denver,80212,2.0,1.0,"1,922",749900,"$2,544",$0,N/A,39.76704551,-105.0384131,Denver 1,Edison,Strive Sunnyside,North
21,3084 S Federal Boulevard,Denver,80236,2.0,1.0,905,749900,"$1,717",$0,N/A,39.66101187,-105.02465761,Denver 1,College View,Henry,Abraham Lincoln
22,1227 Ash Street,Denver,80220,3.0,3.0,"1,767",749500,"$2,253",$0,N/A,39.73526897,-104.93857153,Denver 1,Palmer,Hill,East
23,11032 W Crestline Drive,Littleton,80127,4.0,3.0,"2,463",749000,"$2,311",$116,Quarterly,39.61860683,-105.12137851,Jefferson County R-1,Westridge,Summit Ridge,Dakota Ridge
24,6970 Iris Court,Arvada,80004,4.0,4.0,"3,401",749000,"$3,744",$60,Monthly,39.82312727,-105.10750374,Jefferson County R-1,Warder,Moore,Pomona
25,"8140 Brighton Road Unit 1,#2,#3",Commerce City,80022,2.0,2.0,"1,240",749000,"$1,927",$0,N/A,39.84451374,-104.92042356,Adams 14,Dupont,Adams City,Adams City
26,1351 Jackson Street Unit 1353,Denver,80206,3.0,2.0,"1,873",747000,"$2,900",$0,N/A,39.73766039,-104.94314305,Denver 1,Teller,Morey,East
27,12607 W 38th Drive,Wheat Ridge,80033,4.0,2.0,"3,061",745000,"$2,556",$0,N/A,39.7684256,-105.14070431,Jefferson County R-1,Kullerstrand,Everitt,Wheat Ridge
28,1305 E Iowa Avenue,Denver,80210,3.0,3.0,"1,615",745000,"$2,749",$0,N/A,39.687801,-104.97191125,Denver 1,Asbury,Grant,South
29,8285 E Lehigh Avenue,Denver,80237,4.0,3.0,"2,600",745000,"$2,623",$0,N/A,39.64729324,-104.89202,Denver 1,Joe Shoemaker,Hamilton,Thomas Jefferson
