Unnamed: 0,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,elementarySchool,middleSchool,highSchool,yearly_hoa,costofMoney,districtMatch,RentperSqFt,market_rent,maintenance,management,ROI,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
0,5211 Willow Way,Denver,80238,4.0,4.0,2773,750000,5431,43,Monthly,39.79228466,-104.88626328,Westerly Creek,McAuliffe International,Northfield,516,30000.0,Denver County 1 School District,1.46,4048.58,6072.87,3886.6368,2676.45,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
1,3547 S Ivanhoe Street,Denver,80237,5.0,4.0,3269,750000,2919,0,N/A,39.65166941,-104.92211894,Southmoor,Hamilton,Thomas Jefferson,0,30000.0,Denver County 1 School District,1.46,4772.74,7159.11,4581.8304,12612.94,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
2,1128 S Jackson Street,Denver,80210,2.0,2.0,1595,750000,2935,0,N/A,39.69609348,-104.9432679,Cory,Merrill,South,0,30000.0,Denver County 1 School District,1.46,2328.7,3493.0499999999997,2235.5519999999997,-10719.2,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
3,2585 N Holly Street,Denver,80207,4.0,2.0,1795,750000,2877,0,N/A,39.75441353,-104.92260727,Park Hill,McAuliffe International,East,0,30000.0,Denver County 1 School District,1.46,2620.7,3931.0499999999997,2515.872,-7875.52,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
4,1193 S Clarkson Street,Denver,80210,4.0,2.0,2177,750000,3038,0,N/A,39.6949327,-104.97828738,Lincoln,Grant,South,0,30000.0,Denver County 1 School District,1.46,3178.42,4767.63,3051.2832000000003,-2715.87,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
5,6113 Gray Street,Arvada,80003,4.0,4.0,3078,750000,3901,0,N/A,39.8080458,-105.06176296,Swanson,North Arvada,Arvada,0,30000.0,Jefferson County R-1 School District,1.61,4955.58,7433.37,4757.3568000000005,13375.23,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
6,4835 W 29th Avenue,Denver,80212,3.0,2.0,1755,750000,2561,0,N/A,39.75873771,-105.04959359,Edison,Bryant-Webster,North,0,30000.0,Denver County 1 School District,1.46,2562.2999999999997,3843.45,2459.808,-8116.66,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
7,2090 S Gray Drive,Lakewood,80227,4.0,3.0,2502,750000,2634,150,Annually,39.67852077,-105.06064976,Lasley,Alameda Int'l,Alameda Int'l,150,30000.0,Jefferson County R-1 School District,1.61,4028.2200000000003,6042.33,3867.0912,5645.22,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
8,15905 W 71st Place,Arvada,80007,5.0,4.0,3913,750000,3525,60,Monthly,39.8259962,-105.178247,West Woods,Drake,Ralston Valley,720,30000.0,Jefferson County R-1 School District,1.61,6299.93,9449.895,6047.9328000000005,25856.33,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
9,1625 Irving Street,Denver,80204,4.0,2.0,2158,750000,2916,0,N/A,39.74335455,-105.03025859,Cheltenham,Strive Lake,North,0,30000.0,Denver County 1 School District,1.46,3150.68,4726.0199999999995,3024.6528,-2858.51,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
