address,city,zip,beds,baths,sqft,listPrice,taxes,lat,lng,monthly_hoa,districtMatch
19632 W 59th Avenue,Golden,80403,4.0,3.0,2216,750000,6807,39.80406705,-105.22206082,40.0,Jefferson County R-1 School District
2655 Locust Street,Denver,80207,5.0,3.0,2915,750000,2846,39.7556959,-104.91439622,0.0,Denver County 1 School District
3453 Wabash Street,Denver,80238,3.0,4.0,2134,750000,4916,39.76449901,-104.88952349,43.0,Denver County 1 School District
1550 E Dartmouth Avenue,Englewood,80113,5.0,2.0,2727,750000,2755,39.6602763,-104.96920823,0.0,Englewood 1 School District
1270 Pontiac Street,Denver,80220,4.0,2.0,1835,750000,2937,39.73688137,-104.90548419,0.0,Denver County 1 School District
6644 Everett Street,Arvada,80004,3.0,3.0,2146,750000,2163,39.81822432,-105.09616809,0.0,Jefferson County R-1 School District
2115 Teller Street,Lakewood,80214,5.0,3.0,3074,750000,3491,39.74958613,-105.07704445,0.0,Jefferson County R-1 School District
6900 W Grant Ranch Boulevard Unit 8,Denver,80123,3.0,3.0,2215,750000,4374,39.61707474,-105.07372342,65.0,Denver County 1 School District
6590 Saulsbury Court,Arvada,80003,6.0,4.0,3532,750000,2949,39.81624579,-105.07627848,0.0,Jefferson County R-1 School District
3112 S Monaco Circle,Denver,80222,4.0,3.0,3099,750000,3754,39.65975741,-104.91389187,0.0,Cherry Creek 5 School District
4112 S Vrain Street,Denver,80236,4.0,4.0,3180,750000,2430,39.64292041,-105.04608781,2.5,Denver County 1 School District
1193 S Clarkson Street,Denver,80210,4.0,2.0,2177,750000,3038,39.6949327,-104.97828738,0.0,Denver County 1 School District
5891 Wood Sorrel Drive,Littleton,80123,3.0,3.0,2853,750000,4150,39.60998664,-105.04381642,133.33333333333334,Littleton 6 School District
1150 S Jackson Street,Denver,80210,5.0,2.0,1798,750000,2732,39.69557343,-104.94272938,0.0,Denver County 1 School District
4835 W 29th Avenue,Denver,80212,3.0,2.0,1755,750000,2561,39.75873771,-105.04959359,0.0,Denver County 1 School District
2545 Teller Court,Lakewood,80214,3.0,3.0,3300,750000,2785,39.753739,-105.07769,0.0,Jefferson County R-1 School District
19095 Robins Drive,Denver,80249,7.0,4.0,5193,750000,5182,39.79718105,-104.76448701,0.0,Denver County 1 School District
946 S Leyden Street,Denver,80224,5.0,5.0,3300,749900,2169,39.6990395,-104.91484501,0.0,Denver County 1 School District
4250 Wyandot Street,Denver,80211,3.0,2.0,1748,749900,2616,39.77511384,-105.01446274,0.0,Denver County 1 School District
9840 W 36th Avenue,Wheat Ridge,80033,5.0,3.0,2072,749900,2203,39.76641458,-105.10775268,0.0,Jefferson County R-1 School District
3615 Osceola Street,Denver,80212,2.0,1.0,1922,749900,2544,39.76704551,-105.0384131,0.0,Denver County 1 School District
3084 S Federal Boulevard,Denver,80236,2.0,1.0,905,749900,1717,39.66101187,-105.02465761,0.0,Denver County 1 School District
1227 Ash Street,Denver,80220,3.0,3.0,1767,749500,2253,39.73526897,-104.93857153,0.0,Denver County 1 School District
