address,city,zipcode,beds,baths,sqft,value,taxes,lat,lng,monthly_hoa,districtMatch,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
19632 W 59th Avenue,Golden,80403,4,3,2216,750000,6807,39.80406705,-105.22206082,40.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,72349.0,0,1,0,0,1,0
2202 Braun Court,Golden,80401,5,3,2394,700000,3024,39.7517994,-105.14989032,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,72349.0,0,0,1,0,1,0
642 Deframe,Golden,80401,4,3,2544,700000,1976,39.72706669,-105.15451698,0.0,Englewood 1 School District,61.99,2.94,1.12,40.56,0.27,0.41,5.03,49.69,-26.38,72349.0,0,1,0,0,1,0
4295 S Braun Court,Golden,80465,3,3,3033,698900,3226,39.63746468,-105.15176627,10.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,72349.0,1,0,0,0,1,0
656 Mc Intyre Street,Golden,80401,4,3,1835,660000,2767,39.72638845,-105.17446712,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,72349.0,0,1,0,0,1,0
13130 W 31st Avenue,Golden,80401,4,3,1991,649500,2318,39.76022429,-105.14562481,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,72349.0,0,1,0,0,1,0
3229 Zinnia Court,Golden,80401,5,3,2494,649000,3119,39.76204278,-105.14539569,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,72349.0,0,0,1,0,1,0
885 Deframe Street,Golden,80401,2,1,882,555000,2573,39.73061992,-105.15454973,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,72349.0,0,0,0,0,0,0
14290 W 50th Avenue,Golden,80403,2,2,882,550000,2469,39.78699242,-105.15956319,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,72349.0,0,0,0,1,0,0
11705 W Tulane Drive,Golden,80465,3,2,1473,470000,2438,39.63422912,-105.13000573,48.333333333333336,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,72349.0,1,0,0,1,0,0
2655 Locust Street,Denver,80207,5,3,2915,750000,2846,39.7556959,-104.91439622,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,0,1,0
3453 Wabash Street,Denver,80238,3,4,2134,750000,4916,39.76449901,-104.88952349,43.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,1
1270 Pontiac Street,Denver,80220,4,2,1835,750000,2937,39.73688137,-104.90548419,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
6900 W Grant Ranch Boulevard Unit 8,Denver,80123,3,3,2215,750000,4374,39.61707474,-105.07372342,65.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
3112 S Monaco Circle,Denver,80222,4,3,3099,750000,3754,39.65975741,-104.91389187,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,0,1,0
4112 S Vrain Street,Denver,80236,4,4,3180,750000,2430,39.64292041,-105.04608781,2.5,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,0,1
1193 S Clarkson Street,Denver,80210,4,2,2177,750000,3038,39.6949327,-104.97828738,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
1150 S Jackson Street,Denver,80210,5,2,1798,750000,2732,39.69557343,-104.94272938,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,1,0,0
4835 W 29th Avenue,Denver,80212,3,2,1755,750000,2561,39.75873771,-105.04959359,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
