schoolid,schoolName,lowGrade,highGrade,schoolLevel,rankMovement,hasBoundary,street,city,state,zip,zip4,latitude,longitude,countyName,districtName,index,numberOfStudents,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofWhiteStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,pupilTeacherRatio,year
80336000305,Abraham Lincoln High School,9,12,High,-12.0,True,2285 South Federal Boulevard,Denver,CO,80219,5433,39.6761,-105.0265,Denver County,School District No. 1,0,971.0,90.73,4.02,2.88,88.36,2.99,1.24,0.0,0.51,14.9,2020.0
80336001750,Academia Ana Marie Sandoval,PK,6,Elementary,-13.0,True,3655 Wyandot Street,Denver,CO,80211,2950,39.7675,-105.0155,Denver County,School District No. 1,1,423.0,32.15,0.24,2.13,61.23,33.1,0.47,0.0,2.84,20.4,2020.0
80555001872,Academy High School,9,12,High,-14.0,True,8970 York Street,Thornton,CO,80229,4666,39.85729,-104.958167,Adams County,Mapleton School District No. 1,2,467.0,61.24,1.07,1.07,85.01,9.42,0.21,0.0,3.21,20.9,2020.0
80345000436,Acres Green Elementary School,PK,6,Elementary,-57.0,True,13524 North Acres Green Drive,Littleton,CO,80124,2701,39.5574,-104.8949,Douglas County,Douglas County School District No. Re 1,3,493.0,22.72,0.41,18.86,22.72,49.09,0.61,0.41,7.91,15.9,2020.0
80195000010,Adams City High School,9,12,High,-22.0,True,7200 Quebec Parkway,Commerce City,CO,80022,4824,39.8281,-104.9004,Adams County,School District N. 14,4,1721.0,81.41,1.92,0.35,87.97,8.13,0.41,0.17,1.05,21.3,2020.0
80195000009,Adams City Middle School,6,8,Middle,-38.0,True,4451 East 72nd Avenue,Commerce City,CO,80022,1405,39.8282,-104.9354,Adams County,School District N. 14,5,773.0,82.54,1.16,0.13,87.32,8.8,1.03,0.13,1.42,18.7,2020.0
80480001446,Adams Elementary School,PK,5,Elementary,-68.0,True,6450 West 95th Place,Westminster,CO,80021,6421,39.8698,-105.0655,Jefferson County,Jefferson County School District No. R-1,6,381.0,37.53,3.67,6.56,25.46,59.06,0.26,0.0,4.99,17.0,2020.0
80480000691,Alameda International Junior/Senior High School,7,12,High,-23.0,True,1255 South Wadsworth Blvd,Lakewood,CO,80232,5406,39.6938,-105.0843,Jefferson County,Jefferson County School District No. R-1,9,1117.0,82.54,0.81,5.1,77.98,12.8,0.81,0.09,2.42,14.6,2020.0
80249001403,Alicia Sanchez International School,PK,5,Elementary,-3.0,True,655 Sir Galahad Drive,Lafayette,CO,80026,1979,39.9893,-105.0841,Boulder County,Boulder Valley School District No. Re2,11,360.0,66.11,2.22,5.0,61.67,29.17,0.28,0.0,1.67,11.7,2020.0
80480000692,Allendale Elementary School,PK,5,Elementary,23.0,True,5900 Oak Street,Arvada,CO,80004,4741,39.8048,-105.1182,Jefferson County,Jefferson County School District No. R-1,12,168.0,60.71,4.17,0.0,35.12,57.74,0.6,0.0,2.38,15.2,2020.0
80195000011,Alsup Elementary School,K,5,Elementary,-64.0,True,7101 Birch Street,Commerce City,CO,80022,1822,39.8256,-104.9374,Adams County,School District N. 14,13,415.0,86.27,0.96,0.0,82.89,13.49,0.48,0.48,1.69,15.9,2020.0
80249000122,Angevine Middle School,6,8,Middle,-26.0,True,1150 W  South Boulder Road,Lafayette,CO,80026,2877,39.9899,-105.1041,Boulder County,Boulder Valley School District No. Re2,16,689.0,44.99,1.16,3.77,39.04,49.49,0.87,0.0,5.66,16.4,2020.0
80291001670,Antelope Ridge Elementary School,PK,5,Elementary,-88.0,True,5455 South Tempe Street,Aurora,CO,80015,6575,39.6184,-104.7255,Arapahoe County,Cherry Creek School District No. 5,17,655.0,21.83,7.33,6.11,20.76,58.93,0.46,0.31,6.11,15.8,2020.0
80531000873,Arapahoe High School,9,12,High,-3.0,True,2201 East Dry Creek Road,Centennial,CO,80122,3101,39.5817,-104.9628,Arapahoe County,Littleton School District No. 6,19,2157.0,6.49,1.16,3.48,9.5,80.25,0.56,0.14,4.91,21.4,2020.0
80690001619,Arapahoe Ridge Elementary School,PK,5,Elementary,-49.0,True,13095 Pecos Street,Westminster,CO,80030,1020,39.9353,-105.0072,Adams County,Adams 12 Five Star Schools,20,575.0,43.83,1.39,6.61,40.52,47.48,0.35,0.35,3.3,18.1,2020.0
