,list_price.raw,school_district.data,living_area.data,taxes.data,baths.data,city.data,zip.data,elementary_school.data,latitude.data,square_footage.data,middle_school.data,high_school.data,longitude.data,beds.data,street.data
0,750000,Jefferson County R-1,"2,902","$2,654",3.0,Wheat Ridge,80033,Kullerstrand,39.76538445,"2,902",Everitt,Wheat Ridge,-105.12935113,4.0,11640 W 35th Avenue
1,750000,Denver 1,"5,193","$5,182",4.0,Denver,80249,Waller,39.79718105,"5,193",McGlone,Noel Community Arts School,-104.76448701,7.0,19095 Robins Drive
2,750000,Jefferson County R-1,"2,880","$3,880",3.0,Golden,80401,Stober,39.74414208,"2,880",Everitt,Wheat Ridge,-105.14469017,3.0,1730 Zinnia Street
3,750000,Denver 1,"2,490","$2,756",4.0,Denver,80223,Goldrick,39.70555401,"2,490",Grant,Abraham Lincoln,-105.00364332,5.0,1290 W Center Avenue
4,749999,Jefferson County R-1,"2,094","$2,530",2.0,Arvada,80003,Secrest,39.80969338,"2,094",North Arvada,Arvada,-105.06797401,4.0,6430 W 62nd Place
5,749950,Jefferson County R-1,"3,569","$3,694",4.0,Arvada,80007,West Woods,39.81610468,"3,569",Drake,Ralston Valley,-105.18290108,5.0,6599 Poppy Street
6,749000,Denver 1,"1,888","$3,192",3.0,Denver,80212,Edison,39.76683646,"1,888",Skinner,North,-105.04719858,3.0,4621 W 36th Avenue
7,748500,Denver 1,"1,631","$2,717",2.0,Denver,80224,McMeen,39.69788514,"1,631",Hill,George Washington,-104.91672862,3.0,1025 S Krameria Street
8,743850,Westminster Public Schools,"2,263",$0,3.0,Denver,80221,Hodgkins,39.7992181,"2,263",Scott Carpenter,Westminster,-105.0167316,4.0,5625 Zuni Court
9,740850,Westminster Public Schools,"2,263",$0,3.0,Denver,80221,Hodgkins,39.79964588,"2,263",Scott Carpenter,Westminster,-105.01615102,4.0,5662 Zuni Court
10,739000,Denver 1,"1,256","$2,465",2.0,Denver,80210,Cory,39.69614,"1,256",Merrill,South,-104.941544,3.0,1120 S Harrison Street
11,735000,Denver 1,"2,174","$2,766",2.0,Denver,80220,Park Hill,39.74274862,"2,174",DSST: Conservatory Green,East,-104.93303546,3.0,4631 Batavia Place
12,735000,Jefferson County R-1,"3,201","$3,528",4.0,Littleton,80127,Westridge,39.61711065,"3,201",Summit Ridge,Dakota Ridge,-105.12083581,6.0,10970 W Aqueduct Drive
13,734900,Denver 1,"1,298","$3,048",2.0,Denver,80211,Edison,39.76497074,"1,298",Skinner,North,-105.03248599,2.0,3319 Julian Street
14,725000,Denver 1,"2,343","$3,306",2.0,Denver,80205,Columbine,39.75258166,"2,343",Bruce Randolph,Manual,-104.96010388,4.0,2429 York Street
15,725000,Jefferson County R-1,"2,830","$2,277",3.0,Arvada,80004,Vanderhoof,39.80860649,"2,830",Drake,Arvada West,-105.14012332,5.0,6168 Xenon Street
16,725000,Englewood 1,"2,702","$1,843",2.0,Englewood,80113,Cherrelyn,39.63003734,"2,702",Englewood,Englewood,-104.98002557,4.0,4775 S Washington Street
17,725000,Denver 1,"3,360","$1,643",4.0,Denver,80231,Joe Shoemaker,39.6560089,"3,360",Hamilton,Thomas Jefferson,-104.88800208,4.0,3356 S Willow Court
18,725000,Denver 1,"1,885","$2,674",2.0,Denver,80210,Cory,39.69435769,"1,885",Merrill,South,-104.95894315,4.0,1218 S University Boulevard
19,724999,Denver 1,"2,323","$2,762",2.0,Denver,80207,Park Hill,39.75190068,"2,323",McAuliffe International,East,-104.92107568,3.0,2366 Ivanhoe Street
20,724900,Denver 1,"3,008","$3,022",3.0,Denver,80211,Edison,39.764265,"3,008",Strive Federal,North,-105.025586,4.0,3347 Federal Boulevard
21,724900,Denver 1,"3,008","$3,022",3.0,Denver,80211,Edison,39.76424135,"3,008",Strive Sunnyside,North,-105.02549444,4.0,3347 Federal Boulevard
22,723500,Denver 1,"1,474","$1,838",1.0,Denver,80211,Brown,39.75625456,"1,474",Denver Montessori,North,-105.03481323,3.0,2675 Lowell Boulevard
23,719000,Jefferson County R-1,"3,000","$3,328",4.0,Littleton,80123,Governor's Ranch,39.61121172,"3,000",Ken Caryl,Columbine,-105.10559182,4.0,9602 W Long Avenue
24,715000,Jefferson County R-1,"2,298","$3,177",3.0,Wheat Ridge,80033,Kullerstrand,39.77150878,"2,298",Everitt,Wheat Ridge,-105.12961273,3.0,3930 Simms Court
25,715000,Denver 1,"2,556","$5,960",4.0,Denver,80238,Swigert International,39.76803639,"2,556",DSST: Conservatory Green,Northfield,-104.88898238,4.0,3684 Wabash Street
26,713000,Cherry Creek 5,"4,348","$2,639",3.0,Centennial,80015,Peakview,39.61973029,"4,348",Thunder Ridge,Eaglecrest,-104.761036,7.0,5385 S Flanders Way
27,710000,Jefferson County R-1,"3,364","$6,449",3.0,Idledale,80453,Red Rocks,39.66688311,"3,364",Carmody,Bear Creek,-105.2458051,4.0,2793 S Riverview Drive
28,710000,Jefferson County R-1,"2,323","$3,412",3.0,Arvada,80005,Warder,39.83654426,"2,323",Moore,Pomona,-105.108171,4.0,7685 Jellison Circle
29,710000,Denver 1,"2,716","$5,416",4.0,Denver,80238,High Tech,39.78775251,"2,716",McAuliffe International,Northfield,-104.88437718,4.0,8966 E 50th Avenue
30,710000,Jefferson County R-1,"3,652","$3,023",4.0,Lakewood,80228,Foothills,39.70744314,"3,652",Dunstan,Green Mountain,-105.15376827,4.0,535 S Coors Court
31,700000,Denver 1,"2,114","$2,462",2.0,Denver,80211,Trevista at Horace Mann,39.77429756,"2,114",Strive Sunnyside,North,-105.01836103,5.0,2535 W 42nd Avenue
32,700000,Denver 1,"3,002","$2,716",4.0,Denver,80237,Samuels,39.6446223,"3,002",Hamilton,Thomas Jefferson,-104.89607153,5.0,7796 E Napa Place
33,700000,Denver 1,790,"$2,032",1.0,Denver,80205,Gilpin,39.76724074,790,Whittier  E-8,Manual,-104.97371084,1.0,3601 N Downing Street
34,699999,Jefferson County R-1,"1,625","$2,961",1.0,Lakewood,80226,Deane,39.7026505,"1,625",Alameda Int'l,Alameda Int'l,-105.07013977,3.0,6511 W Ohio Avenue
35,699999,Denver 1,825,"$1,970",,Denver,80205,Cole Arts And Science Academy,39.76637195,825,Cole Arts And Science Academy,Manual,-104.9756376,,3411 N Larimer
36,699900,Denver 1,"1,687","$3,151",2.0,Denver,80207,Park Hill,39.75125369,"1,687",Smiley,East,-104.92725928,4.0,2301 Forest Street
37,699000,Denver 1,"2,300","$2,638",3.0,Denver,80211,Trevista at Horace Mann,39.77205261,"2,300",Bryant-Webster,North,-105.0008313,4.0,4017 Kalamath Street
38,699000,Denver 1,"1,450","$3,532",2.0,Denver,80211,Columbian,39.76735128,"1,450",Strive Sunnyside,North,-105.0177077,2.0,3625 Alcott Street
39,699000,Denver 1,"1,113","$2,207",2.0,Denver,80211,Columbian,39.76960947,"1,113",Bryant-Webster,North,-105.02932178,3.0,3171 W 38th Avenue
40,698000,Jefferson County R-1,"3,359","$3,302",3.0,Arvada,80007,West Woods,39.83243842,"3,359",Drake,Ralston Valley,-105.16782003,4.0,7519 Isabell Circle
41,698000,Jefferson County R-1,"2,447","$2,566",3.0,Lakewood,80226,Stein,39.7218269,"2,447",Alameda Int'l,Alameda Int'l,-105.07171836,4.0,6795 W 3rd Avenue
42,695000,Denver 1,796,"$1,740",1.0,Denver,80212,Centennial,39.77530078,796,Strive Sunnyside,North,-105.04771108,2.0,4337 Winona Court
43,695000,Denver 1,"3,559","$2,515",4.0,Denver,80237,Southmoor,39.64758867,"3,559",Hamilton,Thomas Jefferson,-104.91603646,6.0,3730 S Hillcrest Drive
44,695000,Denver 1,"2,082","$3,131",2.0,Denver,80204,Greenlee,39.73633611,"2,082",Compass Academy,West,-105.00178694,2.0,1257 Lipan Street
45,695000,Denver 1,"2,100","$5,976",3.0,Denver,80216,Garden Place,39.78847865,"2,100",McAuliffe International,Manual,-104.98277768,1.0,5060 Logan Street
46,690000,Jefferson County R-1,"2,900","$3,051",3.0,Lakewood,80227,Lasley,39.6793519,"2,900",Alameda Int'l,Alameda Int'l,-105.06327202,3.0,6007 W Pacific Circle
47,689000,Denver 1,"1,459","$2,614",3.0,Denver,80211,Centennial,39.77691415,"1,459",Bryant-Webster,North,-105.03260808,3.0,3439 W 44th Avenue
48,685000,Denver 1,"1,483","$2,692",2.0,Denver,80211,Trevista at Horace Mann,39.76778526,"1,483",Strive Sunnyside,North,-105.00781476,3.0,3646 Quivas Street
49,685000,Denver 1,"3,262","$2,734",3.0,Denver,80207,Bill Roberts E-8,39.74804558,"3,262",Bill Roberts E-8,Northfield,-104.907785,4.0,2030 Oneida Street
50,680000,Jefferson County R-1,"2,170","$2,290",3.0,Lakewood,80227,Westgate,39.6680243,"2,170",Carmody,Bear Creek,-105.08501038,4.0,2690 S Zephyr Court
51,675000,Jefferson County R-1,"1,887","$2,848",3.0,Arvada,80005,Sierra,39.84170841,"1,887",Oberon,Ralston Valley,-105.11191555,4.0,7990 Lee Street
